,,DONAR #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilepsy genes,gene id,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
LRRC1,499321699,1.2597,1.9266,2.0653,1.0597,1.098,0.3986,1.6638,1.1578,0.3917,-0.3622,3.106,1.4472,0.9998,0.4477,2.0444,-0.9485,2.5022,1.8292,0.9866,2.0919,0.0385,-1.9384,2.8439,1.7157,2.2766,1.0466,1.0756,1.8951,1.1009,1.3291,0.6962,0.9473,1.8766,2.7232,-0.5598,2.416,1.2137,2.6808,2.0788,0.4553,1.4729,1.1615,0.8595,-0.7309,0.9277,0.0868,1.5439,1.6185,2.8249,0.5267
NOS1,499336673,3.3879,-1.2865,1.6607,0.8278,1.3699,-0.4139,2.2227,0.6165,0.0951,1.0445,-1.5466,1.8871,-1.0524,0.7256,0.1454,-0.3555,-1.3468,2.4025,0.07,1.8299,0.4329,-0.0399,-1.0823,-0.0661,0.0762,3.3051,0.3244,0.7663,-0.1857,-1.2801,-1.1491,0.4563,1.0589,-0.4843,0.7977,2.5818,-0.4241,0.2083,0.424,-0.7275,-0.3599,0.3742,0.965,1.1033,1.0082,0.7796,0.2786,1.2785,0.4529,-0.8879
ARHGEF10,499325679,1.6722,1.7034,1.3964,0.6153,0.6573,0.4409,1.3625,0.7037,-0.3218,-0.1298,2.9417,1.882,1.1914,0.6931,2.2129,-0.3784,1.8448,1.7637,0.2619,1.534,0.6023,-2.1132,2.393,2.6808,0.3901,2.6984,0.5034,0.9268,0.6948,1.4472,0.5521,0.7494,1.4166,2.299,0.5937,1.4589,3.6686,2.4122,1.7023,0.0023,0.5472,1.1602,0.0392,-0.8494,0.8915,0.5275,1.1568,1.2818,2.7318,0.5255
LGI3,499326069,0.4921,1.4815,0.4229,1.3223,0.9065,0.7653,1.1903,0.894,0.8763,0.4363,0.9346,0.3902,0.832,1.8053,0.5125,0.1903,1.7171,1.1975,0.0987,0.7999,1.2173,0.0874,1.4525,1.0375,0.7392,0.901,0.4238,1.3907,0.885,1.2119,-0.0639,0.3423,0.4824,1.851,0.7211,1.2961,1.6279,1.8748,1.079,0.2192,0.6038,0.8359,0.4069,0.2843,1.3682,0.6168,1.3238,1.0894,0.6234,0.4435
CLN8,499325674,1.9792,3.0056,0.8458,1.2429,0.6393,0.753,1.2686,0.9745,-0.2363,0.2056,3.2559,2.0411,0.156,1.131,1.9076,-0.5372,1.9833,1.5268,0.8963,1.7459,0.8603,-1.7024,2.1316,2.4583,0.3947,2.3404,0.7775,1.748,0.8238,1.6094,-0.3393,0.373,1.4462,3.0293,0.5883,2.1568,5.0737,1.6854,1.3915,-1.3407,0.2178,0.3894,-0.7323,-3.8003,0.7358,0.1825,1.5938,1.3466,2.7437,0.4916
CLCN2,499315462,1.4526,2.1191,1.4232,1.256,1.1593,1.2807,0.9492,1.2314,0.4836,-0.4909,2.6529,1.8125,0.7989,1.4299,4.0656,-1.9404,1.2279,0.3076,-0.1481,2.094,-1.5749,-0.8996,2.9295,1.7205,1.9624,1.9826,0.3454,1.1194,1.3815,2.1589,-0.1531,-0.0957,1.3111,3.0806,-0.6367,1.9023,3.1071,2.5478,0.7247,0.3415,0.5166,1.7428,-0.2105,-0.9348,0.8299,0.4434,1.7956,1.5079,1.436,1.0847
GRM3,499324363,0.3699,2.4162,1.1056,1.3006,0.6097,1.0361,1.7102,1.1938,0.7235,0.6634,2.0729,1.4347,0.9028,2.3941,1.7661,-0.4073,2.5528,1.8702,0.841,0.4504,0.6816,-0.1034,1.637,1.3175,1.5875,1.4428,1.3882,1.9769,1.5697,1.5603,-0.1407,0.3791,0.6378,2.9251,-1.9095,1.8999,-0.1129,2.3783,2.6607,-0.4468,1.7277,3.4441,-0.5698,-3.2979,1.4832,0.0143,1.6671,1.5777,2.3685,0.1981
GABRE,499354400,0.4882,1.1318,1.1387,0.3846,0.3329,-0.5667,1.555,0.972,-0.2814,-0.4239,1.1109,1.982,0.598,0.3776,1.2474,-0.2295,0.025,0.0667,-0.0579,1.0301,0.6288,-2.2833,-1.4562,2.4245,-1.6913,4.4428,-0.3135,-2.2027,-2.3767,0.2262,-0.3792,0.4274,0.6989,1.3062,1.5118,1.265,0.198,-0.0505,-0.2256,0.3251,0.2691,-0.3528,0.9705,2.4311,-0.8256,0.4665,0.0486,0.0791,2.2502,0.8441
ATP10A,499340541,0.2561,-1.0369,0.3782,-0.0237,-1.44,-0.0196,-1.4562,0.8255,1.3987,-0.6443,-1.9391,1.8415,-0.0128,0.8219,-2.9424,-0.5037,0.7632,0.4012,0.5737,0.4091,-0.0985,0.5869,1.3587,0.2641,-0.0029,-1.4672,-0.3817,-0.3089,-0.2932,0.6884,0.2027,-0.6894,0.5992,-0.996,-0.4654,0.4226,-0.326,-1.977,1.3444,-0.6032,0.2466,-0.4621,0.0607,0.6755,1.6289,0.1222,-2.2787,1.0592,-1.7587,0.0107
